DataHora,Site,Termo,Cargo,Empresa,Localizacao,Codigo,Link
2026-09-08 09:54:32,ApInfo,suporte ti junior,Analista de Suporte de TI – Júnior – Presencial,Confidencial / ApInfo,São Paulo - SP - 17/08/26,85625,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85625&pkey=vwZkZssvKZYkwhvSSMnvyHtqstqEbzqTWq
2026-09-08 09:54:32,ApInfo,analista de suporte,ANALISTA DE SUPORTE VMWare Horizon,Confidencial / ApInfo,Barueri - SP - 08/09/26,85783,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85783&pkey=tZZkrwwtFkvkZhrxxLIcyqtqsWqqqHWHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista de Suporte Linux Pleno,Confidencial / ApInfo,São Paulo - SP - 05/09/26,86146,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86146&pkey=tZZkrwvwYYvkZhrxMxjjyqtqsWqHqTTHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista de Suporte a Aplicações (Enablon),Confidencial / ApInfo,Home Office - HO - 04/09/26,85830,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85830&pkey=tZZkrwwFkwvkZhrxxIcxyqtqsWqtHWqHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista de suporte - ABCD,Confidencial / ApInfo,São Bernardo do Campo - SP - 04/09/26,86005,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86005&pkey=tZZkrwYwvZvkZhrxjxMvyqtqsWqTqbqHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista de Suporte Pleno,Confidencial / ApInfo,São Paulo - SP - 04/09/26,86141,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86141&pkey=tZZkrwYsFKvkZhrxjSInyqtqsWqzqbTHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista Suporte Senior Bilingue,Confidencial / ApInfo,São Paulo - SP - 04/09/26,86129,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86129&pkey=tZZkrwYswvvkZhrxjSxMyqtqsWqzEqHHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista de Suporte Jr (Remoto/Presencial),Confidencial / ApInfo,São Paulo - SP - 03/09/26,86117,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86117&pkey=tZZkrwYFksvkZhrxjIcSyqtqsWqzHsEHsq
2026-09-08 09:54:32,ApInfo,analista de suporte,Analista de Suporte Storage Mainframe,Confidencial / ApInfo,São Paulo - SP - 03/09/26,85446,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85446&pkey=tZZkZsFkYYvkZhvSIcjjyqtqstqHWTTHsq
2026-09-08 09:54:32,ApInfo,suporte tecnico,Técnico de Suporte Técnico-disponivel p/ mulheres,Confidencial / ApInfo,São Paulo - SP - 08/09/26,85533,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85533&pkey=wYZYZsFKvkkthvSInMcyzqztqbTHWWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,Técnico de Suporte em Informática N1,Confidencial / ApInfo,Indaiatuba - SP - 04/09/26,85611,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85611&pkey=wYZYZssYKKkthvSSjnnyzqztqEzzTWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,Técnico de Hardware/Suporte,Confidencial / ApInfo,São Paulo - SP - 04/09/26,86140,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86140&pkey=wYZYrwYsFwkthrxjSIxyzqzWqzqHqWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,Técnico de Suporte de TI - Moema/SP,Confidencial / ApInfo,São Paulo - SP - 04/09/26,86131,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86131&pkey=wYZYrwYskKkthrxjScnyzqzWqzEsTWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,ANALISTA DE SUPORTE TÉCNICO,Confidencial / ApInfo,São Paulo - SP - 03/09/26,86119,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=86119&pkey=wYZYrwYFvvkthrxjIMMyzqzWqzHHHWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,Técnico de Suporte Nível 2 - Cachoeiro do Itapemir,Confidencial / ApInfo,Cachoeiro de Itapemirim - ES - 02/09/26,85146,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85146&pkey=wYZYZsrwYYkthvSrxjjyzqztqWqTTWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,Suporte Técnico,Confidencial / ApInfo,Salvador - BA - 31/08/26,85343,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85343&pkey=wYZYZsKtwkkthvSnLxcyzqztqTEqWWE
2026-09-08 09:54:32,ApInfo,suporte tecnico,"Analista de Suporte Técnico, Brasil (Home Office)",Confidencial / ApInfo,Joinville - SC - 28/08/26,85531,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85531&pkey=wYZYZsFKkKkthvSIncnyzqztqbTsTWE
2026-09-08 09:54:32,ApInfo,help desk,Analista de Helpdesk N2 / N3,Confidencial / ApInfo,Rio de Janeiro - RJ - 08/09/26,85481,https://www.apinfo.com/apinfo/inc/enviecv.cfm?codvaga=85481&pkey=kFZYZsFvrKkYrhvSIMrnysbqztqHbsTWzW
